participant_id,video_id,survey_batch_id,age,gender,race,education,income,sen_seek,human_perceived_msv,predicted_msv,human_emotional,human_arousing,human_involving,human_exciting,human_powerful_impact,human_stimulating,human_strong_visual,human_strong_soundeffect,human_dramatic,human_graphic,human_creative,human_goosebump,human_intense,human_strong_soundtrack,human_novel,human_unique,human_unusual,ai_emotional,ai_arousing,ai_involving,ai_exciting,ai_powerful_impact,ai_stimulating,ai_strong_visual,ai_strong_soundeffect,ai_dramatic,ai_graphic,ai_creative,ai_goosebump,ai_intense,ai_strong_soundtrack,ai_novel,ai_unique,ai_unusual
2,80,1_62,47,Female,Black or African American,5.0,2.0,1.875,5.411764706,4.0,5.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,4,2,4,3,4,3,6,3,4,2,6,2,3,4,6,6,6
3,75,1_58,45,Female,White or Caucasian,4.0,3.0,2.75,5.411764706,3.176470588235294,4.0,5.0,6.0,6.0,7.0,5.0,7.0,5.0,6.0,5.0,7.0,1.0,7.0,5.0,6.0,7.0,3.0,4,3,4,3,4,4,4,2,4,3,3,2,3,2,3,3,3
4,75,1_58,32,Male,White or Caucasian,5.0,5.0,2.625,5.588235294,2.7058823529411766,6.0,6.0,7.0,6.0,7.0,7.0,6.0,4.0,6.0,1.0,5.0,6.0,6.0,4.0,5.0,7.0,6.0,3,2,4,2,3,2,4,2,3,3,4,1,2,2,3,3,3
5,47,1_32,53,Female,White or Caucasian,3.0,4.0,1.75,5.058823529,2.6470588235294117,4.0,5.0,6.0,4.0,6.0,6.0,7.0,4.0,5.0,4.0,7.0,1.0,5.0,4.0,6.0,6.0,6.0,3,2,3,2,3,2,4,2,2,1,4,1,2,3,4,4,3
6,47,1_32,35,Female,White or Caucasian,6.0,6.0,1.75,5.0,2.764705882352941,4.0,5.0,6.0,5.0,6.0,6.0,5.0,4.0,4.0,6.0,6.0,3.0,4.0,4.0,6.0,5.0,6.0,3,2,3,2,3,2,4,2,2,1,5,1,2,3,4,4,4
6,120,1_99,35,Female,White or Caucasian,6.0,6.0,1.75,3.117647059,1.8823529411764706,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,5.0,3.0,3.0,3.0,2,1,2,2,1,2,3,2,2,1,3,1,1,3,2,2,2
6,111,1_90,35,Female,White or Caucasian,6.0,6.0,1.75,3.705882353,2.1176470588235294,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,6.0,3.0,2.0,3.0,4,2,3,2,2,2,3,1,1,1,4,1,1,3,2,2,2
7,47,1_32,35,Female,White or Caucasian,2.0,,1.25,4.117647059,3.1176470588235294,2.0,2.0,5.0,5.0,4.0,4.0,6.0,4.0,5.0,1.0,6.0,1.0,3.0,6.0,5.0,6.0,5.0,3,2,4,2,3,3,5,3,2,2,5,1,2,4,4,4,4
7,8,1_105,35,Female,White or Caucasian,2.0,,1.25,3.411764706,2.411764705882353,5.0,2.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,1.0,2.0,1.0,3.0,7.0,2.0,2.0,2.0,4,1,2,2,1,1,2,4,3,1,4,1,1,5,3,3,3
8,111,1_90,37,Male,White or Caucasian,5.0,2.0,2.25,3.470588235,2.411764705882353,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,4,2,3,2,2,2,4,2,2,1,4,1,1,5,2,2,2
