participant_id,video_id,survey_batch_id,age,gender,race,education,income,sen_seek,human_perceived_msv,predicted_msv,cot_reasoning,example_pairs,raw_response,human_emotional,human_arousing,human_involving,human_exciting,human_powerful_impact,human_stimulating,human_strong_visual,human_strong_soundeffect,human_dramatic,human_graphic,human_creative,human_goosebump,human_intense,human_strong_soundtrack,human_novel,human_unique,human_unusual,ai_emotional,ai_arousing,ai_involving,ai_exciting,ai_powerful_impact,ai_stimulating,ai_strong_visual,ai_strong_soundeffect,ai_dramatic,ai_graphic,ai_creative,ai_goosebump,ai_intense,ai_strong_soundtrack,ai_novel,ai_unique,ai_unusual
2,80,1_62,47,Female,Black or African American,5.0,2.0,1.875,5.411764706,3.823529411764706,,"[{""participant_id"": 67, ""video_id"": 51}, {""participant_id"": 639, ""video_id"": 908}, {""participant_id"": 280, ""video_id"": 449}]","{
  ""emotional"": 5,
  ""arousing"": 3,
  ""involving"": 5,
  ""exciting"": 4,
  ""powerful_impact"": 4,
  ""stimulating"": 4,
  ""strong_visual"": 4,
  ""strong_soundeffect"": 3,
  ""dramatic"": 4,
  ""graphic"": 2,
  ""creative"": 5,
  ""goosebump"": 3,
  ""intense"": 2,
  ""strong_soundtrack"": 3,
  ""novel"": 5,
  ""unique"": 5,
  ""unusual"": 4
}",5.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,5,3,5,4,4,4,4,3,4,2,5,3,2,3,5,5,4
3,75,1_58,45,Female,White or Caucasian,4.0,3.0,2.75,5.411764706,3.5294117647058822,,"[{""participant_id"": 67, ""video_id"": 51}, {""participant_id"": 639, ""video_id"": 908}, {""participant_id"": 280, ""video_id"": 449}]","{
  ""emotional"": 4,
  ""arousing"": 3,
  ""involving"": 4,
  ""exciting"": 3,
  ""powerful_impact"": 4,
  ""stimulating"": 4,
  ""strong_visual"": 4,
  ""strong_soundeffect"": 3,
  ""dramatic"": 4,
  ""graphic"": 2,
  ""creative"": 4,
  ""goosebump"": 3,
  ""intense"": 3,
  ""strong_soundtrack"": 3,
  ""novel"": 4,
  ""unique"": 4,
  ""unusual"": 4
}",4.0,5.0,6.0,6.0,7.0,5.0,7.0,5.0,6.0,5.0,7.0,1.0,7.0,5.0,6.0,7.0,3.0,4,3,4,3,4,4,4,3,4,2,4,3,3,3,4,4,4
4,75,1_58,32,Male,White or Caucasian,5.0,5.0,2.625,5.588235294,2.8823529411764706,,"[{""participant_id"": 67, ""video_id"": 51}, {""participant_id"": 639, ""video_id"": 908}, {""participant_id"": 280, ""video_id"": 449}]","{
  ""emotional"": 4,
  ""arousing"": 3,
  ""involving"": 4,
  ""exciting"": 3,
  ""powerful_impact"": 3,
  ""stimulating"": 3,
  ""strong_visual"": 3,
  ""strong_soundeffect"": 2,
  ""dramatic"": 4,
  ""graphic"": 2,
  ""creative"": 3,
  ""goosebump"": 2,
  ""intense"": 2,
  ""strong_soundtrack"": 2,
  ""novel"": 3,
  ""unique"": 3,
  ""unusual"": 3
}",6.0,6.0,7.0,6.0,7.0,7.0,6.0,4.0,6.0,1.0,5.0,6.0,6.0,4.0,5.0,7.0,6.0,4,3,4,3,3,3,3,2,4,2,3,2,2,2,3,3,3
5,47,1_32,53,Female,White or Caucasian,3.0,4.0,1.75,5.058823529,2.823529411764706,,"[{""participant_id"": 67, ""video_id"": 51}, {""participant_id"": 639, ""video_id"": 908}, {""participant_id"": 280, ""video_id"": 449}]","{
  ""emotional"": 4,
  ""arousing"": 3,
  ""involving"": 3,
  ""exciting"": 3,
  ""powerful_impact"": 3,
  ""stimulating"": 3,
  ""strong_visual"": 3,
  ""strong_soundeffect"": 3,
  ""dramatic"": 3,
  ""graphic"": 2,
  ""creative"": 3,
  ""goosebump"": 2,
  ""intense"": 2,
  ""strong_soundtrack"": 2,
  ""novel"": 3,
  ""unique"": 3,
  ""unusual"": 3
}",4.0,5.0,6.0,4.0,6.0,6.0,7.0,4.0,5.0,4.0,7.0,1.0,5.0,4.0,6.0,6.0,6.0,4,3,3,3,3,3,3,3,3,2,3,2,2,2,3,3,3
6,47,1_32,35,Female,White or Caucasian,6.0,6.0,1.75,5.0,3.0588235294117645,,"[{""participant_id"": 67, ""video_id"": 51}, {""participant_id"": 639, ""video_id"": 908}, {""participant_id"": 280, ""video_id"": 449}]","{
  ""emotional"": 4,
  ""arousing"": 3,
  ""involving"": 3,
  ""exciting"": 3,
  ""powerful_impact"": 3,
  ""stimulating"": 3,
  ""strong_visual"": 3,
  ""strong_soundeffect"": 3,
  ""dramatic"": 3,
  ""graphic"": 2,
  ""creative"": 4,
  ""goosebump"": 2,
  ""intense"": 2,
  ""strong_soundtrack"": 2,
  ""novel"": 4,
  ""unique"": 4,
  ""unusual"": 4
}",4.0,5.0,6.0,5.0,6.0,6.0,5.0,4.0,4.0,6.0,6.0,3.0,4.0,4.0,6.0,5.0,6.0,4,3,3,3,3,3,3,3,3,2,4,2,2,2,4,4,4
6,120,1_99,35,Female,White or Caucasian,6.0,6.0,1.75,3.117647059,3.3529411764705883,,"[{""participant_id"": 67, ""video_id"": 51}, {""participant_id"": 639, ""video_id"": 908}, {""participant_id"": 280, ""video_id"": 449}]","{
  ""emotional"": 4,
  ""arousing"": 3,
  ""involving"": 3,
  ""exciting"": 4,
  ""powerful_impact"": 3,
  ""stimulating"": 3,
  ""strong_visual"": 4,
  ""strong_soundeffect"": 4,
  ""dramatic"": 4,
  ""graphic"": 2,
  ""creative"": 4,
  ""goosebump"": 2,
  ""intense"": 2,
  ""strong_soundtrack"": 3,
  ""novel"": 4,
  ""unique"": 4,
  ""unusual"": 4
}",3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,5.0,3.0,3.0,3.0,4,3,3,4,3,3,4,4,4,2,4,2,2,3,4,4,4
6,111,1_90,35,Female,White or Caucasian,6.0,6.0,1.75,3.705882353,3.6470588235294117,,"[{""participant_id"": 67, ""video_id"": 51}, {""participant_id"": 639, ""video_id"": 908}, {""participant_id"": 280, ""video_id"": 449}]","{
  ""emotional"": 5,
  ""arousing"": 4,
  ""involving"": 5,
  ""exciting"": 4,
  ""powerful_impact"": 3,
  ""stimulating"": 3,
  ""strong_visual"": 4,
  ""strong_soundeffect"": 4,
  ""dramatic"": 4,
  ""graphic"": 1,
  ""creative"": 5,
  ""goosebump"": 3,
  ""intense"": 2,
  ""strong_soundtrack"": 4,
  ""novel"": 4,
  ""unique"": 4,
  ""unusual"": 3
}",4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,6.0,3.0,2.0,3.0,5,4,5,4,3,3,4,4,4,1,5,3,2,4,4,4,3
7,47,1_32,35,Female,White or Caucasian,2.0,nan,1.25,4.117647059,2.823529411764706,,"[{""participant_id"": 67, ""video_id"": 51}, {""participant_id"": 639, ""video_id"": 908}, {""participant_id"": 280, ""video_id"": 449}]","{
  ""emotional"": 4,
  ""arousing"": 3,
  ""involving"": 3,
  ""exciting"": 3,
  ""powerful_impact"": 3,
  ""stimulating"": 3,
  ""strong_visual"": 3,
  ""strong_soundeffect"": 3,
  ""dramatic"": 3,
  ""graphic"": 2,
  ""creative"": 3,
  ""goosebump"": 2,
  ""intense"": 2,
  ""strong_soundtrack"": 2,
  ""novel"": 3,
  ""unique"": 3,
  ""unusual"": 3
}",2.0,2.0,5.0,5.0,4.0,4.0,6.0,4.0,5.0,1.0,6.0,1.0,3.0,6.0,5.0,6.0,5.0,4,3,3,3,3,3,3,3,3,2,3,2,2,2,3,3,3
7,8,1_105,35,Female,White or Caucasian,2.0,nan,1.25,3.411764706,2.0588235294117645,,"[{""participant_id"": 67, ""video_id"": 51}, {""participant_id"": 639, ""video_id"": 908}, {""participant_id"": 280, ""video_id"": 449}]","{
  ""emotional"": 3,
  ""arousing"": 2,
  ""involving"": 2,
  ""exciting"": 2,
  ""powerful_impact"": 2,
  ""stimulating"": 2,
  ""strong_visual"": 2,
  ""strong_soundeffect"": 2,
  ""dramatic"": 2,
  ""graphic"": 2,
  ""creative"": 2,
  ""goosebump"": 2,
  ""intense"": 2,
  ""strong_soundtrack"": 2,
  ""novel"": 2,
  ""unique"": 2,
  ""unusual"": 2
}",5.0,2.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,1.0,2.0,1.0,3.0,7.0,2.0,2.0,2.0,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8,111,1_90,37,Male,White or Caucasian,5.0,2.0,2.25,3.470588235,2.4705882352941178,,"[{""participant_id"": 67, ""video_id"": 51}, {""participant_id"": 639, ""video_id"": 908}, {""participant_id"": 280, ""video_id"": 449}]","{
  ""emotional"": 4,
  ""arousing"": 3,
  ""involving"": 3,
  ""exciting"": 2,
  ""powerful_impact"": 2,
  ""stimulating"": 2,
  ""strong_visual"": 3,
  ""strong_soundeffect"": 3,
  ""dramatic"": 2,
  ""graphic"": 1,
  ""creative"": 3,
  ""goosebump"": 2,
  ""intense"": 1,
  ""strong_soundtrack"": 3,
  ""novel"": 3,
  ""unique"": 3,
  ""unusual"": 2
}",4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,4,3,3,2,2,2,3,3,2,1,3,2,1,3,3,3,2
