participant_id,video_id,survey_batch_id,age,gender,race,education,income,sen_seek,human_perceived_msv,predicted_msv,cot_reasoning,example_pairs,raw_response,human_emotional,human_arousing,human_involving,human_exciting,human_powerful_impact,human_stimulating,human_strong_visual,human_strong_soundeffect,human_dramatic,human_graphic,human_creative,human_goosebump,human_intense,human_strong_soundtrack,human_novel,human_unique,human_unusual,ai_emotional,ai_arousing,ai_involving,ai_exciting,ai_powerful_impact,ai_stimulating,ai_strong_visual,ai_strong_soundeffect,ai_dramatic,ai_graphic,ai_creative,ai_goosebump,ai_intense,ai_strong_soundtrack,ai_novel,ai_unique,ai_unusual
2,80,1_62,47,Female,Black or African American,5.0,2.0,1.875,5.411764706,4.588235294117647,,,"```json
{
  ""novel"": 6,
  ""unique"": 6,
  ""emotional"": 5,
  ""exciting"": 4,
  ""strong_visual"": 5,
  ""arousing"": 3,
  ""involving"": 5,
  ""powerful_impact"": 5,
  ""stimulating"": 4,
  ""strong_soundeffect"": 4,
  ""dramatic"": 5,
  ""intense"": 4,
  ""strong_soundtrack"": 4,
  ""creative"": 6,
  ""graphic"": 2,
  ""goosebump"": 4,
  ""unusual"": 6
}
```",5.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,5,3,5,4,5,4,5,4,5,2,6,4,4,4,6,6,6
3,75,1_58,45,Female,White or Caucasian,4.0,3.0,2.75,5.411764706,4.0,,,"{""novel"": 4, ""unique"": 4, ""emotional"": 4, ""exciting"": 4, ""strong_visual"": 4, ""powerful_impact"": 4, ""arousing"": 4, ""involving"": 4, ""stimulating"": 4, ""strong_soundeffect"": 4, ""dramatic"": 4, ""intense"": 4, ""strong_soundtrack"": 4, ""creative"": 4, ""graphic"": 4, ""goosebump"": 4, ""unusual"": 4}",4.0,5.0,6.0,6.0,7.0,5.0,7.0,5.0,6.0,5.0,7.0,1.0,7.0,5.0,6.0,7.0,3.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,75,1_58,32,Male,White or Caucasian,5.0,5.0,2.625,5.588235294,4.0,,,"```json
{
  ""novel"": 4,
  ""unique"": 4,
  ""unusual"": 4,
  ""emotional"": 4,
  ""exciting"": 4,
  ""strong_visual"": 4,
  ""arousing"": 4,
  ""involving"": 4,
  ""stimulating"": 4,
  ""powerful_impact"": 4,
  ""strong_soundeffect"": 4,
  ""dramatic"": 4,
  ""intense"": 4,
  ""strong_soundtrack"": 4,
  ""creative"": 4,
  ""goosebump"": 4,
  ""graphic"": 4
}
```",6.0,6.0,7.0,6.0,7.0,7.0,6.0,4.0,6.0,1.0,5.0,6.0,6.0,4.0,5.0,7.0,6.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,47,1_32,53,Female,White or Caucasian,3.0,4.0,1.75,5.058823529,3.6470588235294117,,,"{""novel"": 5, ""unique"": 5, ""emotional"": 4, ""exciting"": 4, ""strong_visual"": 4, ""arousing"": 3, ""involving"": 4, ""stimulating"": 3, ""strong_soundeffect"": 4, ""dramatic"": 4, ""intense"": 3, ""strong_soundtrack"": 4, ""graphic"": 2, ""creative"": 4, ""goosebump"": 2, ""powerful_impact"": 3, ""unusual"": 4}",4.0,5.0,6.0,4.0,6.0,6.0,7.0,4.0,5.0,4.0,7.0,1.0,5.0,4.0,6.0,6.0,6.0,4,3,4,4,3,3,4,4,4,2,4,2,3,4,5,5,4
6,47,1_32,35,Female,White or Caucasian,6.0,6.0,1.75,5.0,4.9411764705882355,,,"```json
{
  ""novel"": 6,
  ""unique"": 6,
  ""unusual"": 6,
  ""emotional"": 5,
  ""exciting"": 5,
  ""strong_visual"": 5,
  ""arousing"": 4,
  ""involving"": 5,
  ""stimulating"": 5,
  ""powerful_impact"": 5,
  ""strong_soundeffect"": 5,
  ""strong_soundtrack"": 5,
  ""dramatic"": 5,
  ""intense"": 5,
  ""goosebump"": 4,
  ""creative"": 5,
  ""graphic"": 3
}
```",4.0,5.0,6.0,5.0,6.0,6.0,5.0,4.0,4.0,6.0,6.0,3.0,4.0,4.0,6.0,5.0,6.0,5,4,5,5,5,5,5,5,5,3,5,4,5,5,6,6,6
6,120,1_99,35,Female,White or Caucasian,6.0,6.0,1.75,3.117647059,4.0,,,"```json
{
  ""novel"": 5,
  ""unique"": 6,
  ""unusual"": 5,
  ""emotional"": 4,
  ""exciting"": 5,
  ""strong_visual"": 4,
  ""arousing"": 3,
  ""involving"": 4,
  ""stimulating"": 4,
  ""powerful_impact"": 4,
  ""strong_soundeffect"": 5,
  ""strong_soundtrack"": 5,
  ""dramatic"": 4,
  ""intense"": 3,
  ""goosebump"": 2,
  ""creative"": 4,
  ""graphic"": 1
}
```",3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,5.0,3.0,3.0,3.0,4,3,4,5,4,4,4,5,4,1,4,2,3,5,5,6,5
6,111,1_90,35,Female,White or Caucasian,6.0,6.0,1.75,3.705882353,4.0,,,"{""novel"": 4, ""unique"": 4, ""emotional"": 4, ""exciting"": 4, ""strong_visual"": 4, ""arousing"": 4, ""involving"": 4, ""powerful_impact"": 4, ""stimulating"": 4, ""strong_soundeffect"": 4, ""dramatic"": 4, ""intense"": 4, ""strong_soundtrack"": 4, ""goosebump"": 4, ""creative"": 4, ""graphic"": 4, ""unusual"": 4}",4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,6.0,3.0,2.0,3.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7,47,1_32,35,Female,White or Caucasian,2.0,nan,1.25,4.117647059,4.470588235294118,,,"```json
{
  ""novel"": 6,
  ""unique"": 6,
  ""unusual"": 5,
  ""emotional"": 4,
  ""exciting"": 5,
  ""strong_visual"": 5,
  ""arousing"": 4,
  ""involving"": 4,
  ""stimulating"": 4,
  ""powerful_impact"": 5,
  ""goosebump"": 3,
  ""intense"": 4,
  ""dramatic"": 4,
  ""creative"": 5,
  ""graphic"": 2,
  ""strong_soundtrack"": 5,
  ""strong_soundeffect"": 5
}
```",2.0,2.0,5.0,5.0,4.0,4.0,6.0,4.0,5.0,1.0,6.0,1.0,3.0,6.0,5.0,6.0,5.0,4,4,4,5,5,4,5,5,4,2,5,3,4,5,6,6,5
7,8,1_105,35,Female,White or Caucasian,2.0,nan,1.25,3.411764706,4.0,,,"```json
{
  ""novel"": 4,
  ""unique"": 4,
  ""unusual"": 4,
  ""emotional"": 4,
  ""exciting"": 4,
  ""strong_visual"": 4,
  ""arousing"": 4,
  ""involving"": 4,
  ""stimulating"": 4,
  ""strong_soundeffect"": 4,
  ""dramatic"": 4,
  ""intense"": 4,
  ""strong_soundtrack"": 4,
  ""goosebump"": 4,
  ""creative"": 4,
  ""graphic"": 4,
  ""powerful_impact"": 4
}
```",5.0,2.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,1.0,2.0,1.0,3.0,7.0,2.0,2.0,2.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8,111,1_90,37,Male,White or Caucasian,5.0,2.0,2.25,3.470588235,4.0,,,"```json
{
  ""novel"": 4,
  ""unique"": 4,
  ""unusual"": 4,
  ""emotional"": 4,
  ""exciting"": 4,
  ""strong_visual"": 4,
  ""arousing"": 4,
  ""involving"": 4,
  ""stimulating"": 4,
  ""powerful_impact"": 4,
  ""creative"": 4,
  ""graphic"": 4,
  ""goosebump"": 4,
  ""intense"": 4,
  ""strong_soundtrack"": 4,
  ""strong_soundeffect"": 4,
  ""dramatic"": 4,
  ""novel"": 4
}
```",4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
