participant_id,video_id,survey_batch_id,age,gender,race,education,income,sen_seek,human_perceived_msv,predicted_msv,cot_reasoning,thought_summary,example_pairs,raw_response,human_emotional,human_arousing,human_involving,human_exciting,human_powerful_impact,human_stimulating,human_strong_visual,human_strong_soundeffect,human_dramatic,human_graphic,human_creative,human_goosebump,human_intense,human_strong_soundtrack,human_novel,human_unique,human_unusual,ai_emotional,ai_arousing,ai_involving,ai_exciting,ai_powerful_impact,ai_stimulating,ai_strong_visual,ai_strong_soundeffect,ai_dramatic,ai_graphic,ai_creative,ai_goosebump,ai_intense,ai_strong_soundtrack,ai_novel,ai_unique,ai_unusual
2,80,1_62,68,Male,White or Caucasian,5.0,4.0,4.0,5.411764706,4.823529411764706,,,,"```json
{
  ""novel"": 6,
  ""unique"": 6,
  ""emotional"": 5,
  ""exciting"": 5,
  ""strong_visual"": 5,
  ""arousing"": 4,
  ""involving"": 5,
  ""powerful_impact"": 5,
  ""stimulating"": 5,
  ""strong_soundeffect"": 4,
  ""dramatic"": 5,
  ""intense"": 4,
  ""strong_soundtrack"": 4,
  ""creative"": 6,
  ""graphic"": 3,
  ""goosebump"": 4,
  ""unusual"": 6
}
```",5.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,5,4,5,5,5,5,5,4,5,3,6,4,4,4,6,6,6
3,75,1_58,48,Female,White or Caucasian,5.0,2.0,2.0,5.411764706,4.0,,,,"```json
{
  ""novel"": 4,
  ""unique"": 4,
  ""unusual"": 4,
  ""emotional"": 4,
  ""exciting"": 4,
  ""strong_visual"": 4,
  ""arousing"": 4,
  ""involving"": 4,
  ""stimulating"": 4,
  ""powerful_impact"": 4,
  ""strong_soundeffect"": 4,
  ""dramatic"": 4,
  ""intense"": 4,
  ""strong_soundtrack"": 4,
  ""creative"": 4,
  ""goosebump"": 4,
  ""graphic"": 4
}
```",4.0,5.0,6.0,6.0,7.0,5.0,7.0,5.0,6.0,5.0,7.0,1.0,7.0,5.0,6.0,7.0,3.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,75,1_58,44,Male,White or Caucasian,3.0,4.0,1.625,5.588235294,4.0,,,,"{""novel"": 4, ""unique"": 4, ""unusual"": 4, ""emotional"": 4, ""exciting"": 4, ""strong_visual"": 4, ""arousing"": 4, ""involving"": 4, ""stimulating"": 4, ""powerful_impact"": 4, ""strong_soundeffect"": 4, ""dramatic"": 4, ""intense"": 4, ""strong_soundtrack"": 4, ""creative"": 4, ""graphic"": 4, ""goosebump"": 4}",6.0,6.0,7.0,6.0,7.0,7.0,6.0,4.0,6.0,1.0,5.0,6.0,6.0,4.0,5.0,7.0,6.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,47,1_32,28,Female,White or Caucasian,2.0,3.0,1.625,5.058823529,4.588235294117647,,,,"{""novel"": 5, ""unique"": 6, ""unusual"": 6, ""emotional"": 4, ""exciting"": 5, ""strong_visual"": 5, ""arousing"": 4, ""involving"": 4, ""stimulating"": 5, ""strong_soundeffect"": 5, ""powerful_impact"": 5, ""goosebump"": 4, ""intense"": 4, ""strong_soundtrack"": 5, ""dramatic"": 4, ""graphic"": 3, ""creative"": 4}",4.0,5.0,6.0,4.0,6.0,6.0,7.0,4.0,5.0,4.0,7.0,1.0,5.0,4.0,6.0,6.0,6.0,4,4,4,5,5,5,5,5,4,3,4,4,4,5,5,6,6
6,47,1_32,55,Female,White or Caucasian,3.0,5.0,2.625,5.0,4.470588235294118,,,,"{""novel"": 5, ""unique"": 6, ""emotional"": 4, ""exciting"": 5, ""strong_visual"": 5, ""arousing"": 4, ""involving"": 4, ""stimulating"": 4, ""strong_soundeffect"": 5, ""dramatic"": 5, ""intense"": 4, ""strong_soundtrack"": 5, ""goosebump"": 3, ""creative"": 5, ""graphic"": 3, ""novel"": 5, ""unusual"": 5}",4.0,5.0,6.0,5.0,6.0,6.0,5.0,4.0,4.0,6.0,6.0,3.0,4.0,4.0,6.0,5.0,6.0,4,4,4,5,4,4,5,5,5,3,5,3,4,5,5,6,5
6,120,1_99,55,Female,White or Caucasian,3.0,5.0,2.625,3.117647059,4.0,,,,"{""novel"": 4, ""unique"": 4, ""emotional"": 4, ""exciting"": 4, ""strong_visual"": 4, ""powerful_impact"": 4, ""arousing"": 4, ""involving"": 4, ""stimulating"": 4, ""strong_soundeffect"": 4, ""dramatic"": 4, ""intense"": 4, ""strong_soundtrack"": 4, ""goosebump"": 4, ""graphic"": 4, ""creative"": 4, ""unusual"": 4}",3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,5.0,3.0,3.0,3.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6,111,1_90,55,Female,White or Caucasian,3.0,5.0,2.625,3.705882353,3.176470588235294,,,,"{""novel"": 3, ""unique"": 3, ""emotional"": 4, ""exciting"": 4, ""strong_visual"": 4, ""arousing"": 3, ""involving"": 4, ""powerful_impact"": 3, ""stimulating"": 3, ""strong_soundeffect"": 4, ""dramatic"": 3, ""intense"": 3, ""strong_soundtrack"": 4, ""goosebump"": 2, ""creative"": 3, ""graphic"": 1, ""unusual"": 3}",4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,6.0,3.0,2.0,3.0,4,3,4,4,3,3,4,4,3,1,3,2,3,4,3,3,3
7,47,1_32,28,Female,Black or African American,6.0,2.0,1.5,4.117647059,5.0,,,,"{""novel"": 6, ""unique"": 6, ""unusual"": 6, ""emotional"": 5, ""exciting"": 5, ""strong_visual"": 5, ""arousing"": 4, ""involving"": 5, ""stimulating"": 5, ""strong_soundeffect"": 5, ""dramatic"": 5, ""intense"": 5, ""strong_soundtrack"": 5, ""goosebump"": 4, ""creative"": 5, ""graphic"": 4, ""powerful_impact"": 5}",2.0,2.0,5.0,5.0,4.0,4.0,6.0,4.0,5.0,1.0,6.0,1.0,3.0,6.0,5.0,6.0,5.0,5,4,5,5,5,5,5,5,5,4,5,4,5,5,6,6,6
7,8,1_105,28,Female,Black or African American,6.0,2.0,1.5,3.411764706,2.823529411764706,,,,"{""novel"": 3, ""unique"": 3, ""emotional"": 4, ""exciting"": 3, ""strong_visual"": 3, ""arousing"": 2, ""involving"": 3, ""stimulating"": 2, ""strong_soundeffect"": 3, ""dramatic"": 3, ""intense"": 2, ""strong_soundtrack"": 3, ""goosebump"": 2, ""creative"": 3, ""graphic"": 2, ""novel"": 3, ""unusual"": 3}",5.0,2.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,1.0,2.0,1.0,3.0,7.0,2.0,2.0,2.0,4,2,3,3,4,2,3,3,3,2,3,2,2,3,3,3,3
8,111,1_90,26,Male,White or Caucasian,6.0,5.0,3.625,3.470588235,4.0,,,,"{""novel"": 4, ""unique"": 4, ""emotional"": 4, ""exciting"": 4, ""strong_visual"": 4, ""arousing"": 4, ""involving"": 4, ""stimulating"": 4, ""strong_soundeffect"": 4, ""dramatic"": 4, ""intense"": 4, ""strong_soundtrack"": 4, ""graphic"": 4, ""creative"": 4, ""goosebump"": 4, ""powerful_impact"": 4, ""unusual"": 4}",4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
