participant_id,video_id,survey_batch_id,age,gender,race,education,income,sen_seek,human_perceived_msv,predicted_msv,cot_reasoning,example_pairs,human_emotional,human_arousing,human_involving,human_exciting,human_powerful_impact,human_stimulating,human_strong_visual,human_strong_soundeffect,human_dramatic,human_graphic,human_creative,human_goosebump,human_intense,human_strong_soundtrack,human_novel,human_unique,human_unusual,ai_emotional,ai_arousing,ai_involving,ai_exciting,ai_powerful_impact,ai_stimulating,ai_strong_visual,ai_strong_soundeffect,ai_dramatic,ai_graphic,ai_creative,ai_goosebump,ai_intense,ai_strong_soundtrack,ai_novel,ai_unique,ai_unusual
105,282,2_28,44,Female,White or Caucasian,6.0,2.0,4.0,2.764705882,5.588235294117647,,"[{""video_id"": 51, ""participant_id"": 67}, {""video_id"": 908, ""participant_id"": 639}, {""video_id"": 449, ""participant_id"": 280}]",4.0,4.0,1.0,3.0,4.0,4.0,5.0,3.0,4.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,7,6,6,4,7,6,7,6,7,6,3,6,7,1,5,5,6
116,282,2_28,32,Male,White or Caucasian,5.0,4.0,2.375,5.235294118,5.0588235294117645,,"[{""video_id"": 51, ""participant_id"": 67}, {""video_id"": 908, ""participant_id"": 639}, {""video_id"": 449, ""participant_id"": 280}]",5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,6.0,5.0,5.0,4.0,6.0,7.0,6.0,6,5,5,2,7,4,7,6,7,6,1,5,7,1,5,5,7
132,282,2_28,25,Female,White or Caucasian,3.0,3.0,2.0,3.0,5.117647058823529,,"[{""video_id"": 51, ""participant_id"": 67}, {""video_id"": 908, ""participant_id"": 639}, {""video_id"": 449, ""participant_id"": 280}]",5.0,1.0,4.0,3.0,5.0,2.0,5.0,1.0,4.0,2.0,1.0,1.0,5.0,1.0,4.0,3.0,4.0,7,5,5,1,7,4,7,6,7,6,2,6,7,1,5,5,6
148,282,2_28,28,Female,Other,5.0,3.0,4.5,2.470588235,5.764705882352941,,"[{""video_id"": 51, ""participant_id"": 67}, {""video_id"": 908, ""participant_id"": 639}, {""video_id"": 449, ""participant_id"": 280}]",4.0,2.0,4.0,5.0,2.0,3.0,5.0,1.0,2.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,7,7,7,4,7,7,7,7,7,6,2,6,7,1,5,5,6
157,282,2_28,25,Female,White or Caucasian,6.0,1.0,2.125,4.352941176,5.352941176470588,,"[{""video_id"": 51, ""participant_id"": 67}, {""video_id"": 908, ""participant_id"": 639}, {""video_id"": 449, ""participant_id"": 280}]",5.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,7.0,4.0,3.0,6.0,1.0,5.0,3.0,5.0,7,5,6,2,7,5,7,6,7,6,3,6,7,1,5,5,6
166,282,2_28,59,Female,Asian,5.0,6.0,2.0,3.647058824,5.235294117647059,,"[{""video_id"": 51, ""participant_id"": 67}, {""video_id"": 908, ""participant_id"": 639}, {""video_id"": 449, ""participant_id"": 280}]",2.0,4.0,3.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,4.0,4.0,7,5,6,1,7,4,7,6,7,7,1,6,7,1,5,5,7
104,350,2_9,37,Female,White or Caucasian,5.0,nan,2.625,5.176470588,3.823529411764706,,"[{""video_id"": 51, ""participant_id"": 67}, {""video_id"": 908, ""participant_id"": 639}, {""video_id"": 449, ""participant_id"": 280}]",6.0,1.0,4.0,6.0,7.0,7.0,2.0,7.0,7.0,4.0,6.0,1.0,6.0,7.0,6.0,7.0,4.0,4,4,4,5,4,4,5,4,5,3,4,3,5,5,2,2,2
127,350,2_9,65,Female,White or Caucasian,3.0,2.0,1.875,3.647058824,3.5294117647058822,,"[{""video_id"": 51, ""participant_id"": 67}, {""video_id"": 908, ""participant_id"": 639}, {""video_id"": 449, ""participant_id"": 280}]",3.0,1.0,5.0,1.0,5.0,4.0,6.0,3.0,2.0,4.0,5.0,1.0,4.0,5.0,5.0,5.0,3.0,4,3,4,5,3,3,5,4,5,3,4,2,4,5,2,2,2
136,350,2_9,40,Female,White or Caucasian,5.0,5.0,2.875,5.705882353,4.411764705882353,,"[{""video_id"": 51, ""participant_id"": 67}, {""video_id"": 908, ""participant_id"": 639}, {""video_id"": 449, ""participant_id"": 280}]",6.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,4.0,4.0,1.0,6.0,5.0,4.0,7.0,7.0,5,5,4,6,5,5,6,4,6,3,4,4,6,5,3,2,2
139,350,2_9,48,Male,White or Caucasian,4.0,3.0,1.5,4.647058824,2.4705882352941178,,"[{""video_id"": 51, ""participant_id"": 67}, {""video_id"": 908, ""participant_id"": 639}, {""video_id"": 449, ""participant_id"": 280}]",3.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,6.0,6.0,7.0,1.0,5.0,4.0,7.0,7.0,5.0,3,2,3,3,2,2,4,2,3,1,3,2,3,3,2,2,2
